FBBO	VFB
L1	FBbt_00003719
L2	FBbt_00003720
L3	FBbt_00003721
L4	FBbt_00003722
L5	FBbt_00003725
Mi1	FBbt_00003776
Mi10_like	
Mi2_0	
Mi2_1	
Mi2_2	
Mi4_0	
Mi4_1	
Mi4_2	
Mi4_3	
Mi4_4	
Mi8	FBbt_00003783
Mi9	FBbt_00003784
T1	FBbt_00003725
Tm1	FBbt_00003789
Tm16_like_0	
Tm16_like_1	
Tm16_like_2	
Tm16_like_3	
Tm2	FBbt_00003790
Tm20	FBbt_00003808
Tm22_like	
Tm23_24	
Tm25_Y1	
Tm28_TmY9_0	
Tm28_TmY9_1	
Tm28_TmY9_2	
Tm28_TmY9_3	
Tm28_TmY9_4	
Tm3_ant	
Tm3_post	
Tm4_ant	
Tm4_post	
Tm5a	FBbt_00110072
Tm5b	FBbt_00110073
Tm5c_0	
Tm5c_1	
Tm5c_2	
Tm5c_3	
Tm5c_like	
Tm5Y	FBbt_00003831
Tm6_14	
Tm8_like	
Tm9	FBbt_00003797
TmY10_like_0	
TmY10_like_1	
TmY13_like_0	
TmY13_like_1	
TmY3	FBbt_00003830
TmY4_like_0	
TmY4_like_1	
TmY4_like_2	
TmY4_like_3	
TmY4_like_4	
TmY5a	FBbt_00003831
TmY5a_0	
